
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digikey","Family","Field4","Field5","Field6","Field7","Field8","MPN","Manufacturer","Part Description","Status"
"37","2","R13, R21","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","311-10.0KCRCT-ND","","","","","","","","","",""
"38","1","R20","DNP","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","","","",""
"39","1","R25","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","311-10.0KCRCT-ND","","","","","","","","","",""
"40","1","R3","24.1k/1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT750RCT-ND","","","","","","","","","",""
"41","2","R4, R5","5.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT130RCT-ND","","","","","","","","","",""
"42","1","R6","249k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT750RCT-ND","","","","","","","","","",""
"43","2","R7, R8","470R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT750RCT-ND","","","","","","","","","",""
"44","1","R9","51k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT750RCT-ND","","","","","","","","","",""
"45","1","S1","RUN_SW","dk_Tactile-Switches:PTS645SM43SMTR92_LFS","digikey-footprints:Switch_Tactile_SMD_6x6mm_PTS645","https://www.ckswitches.com/media/1471/pts645.pdf","Switches","https://www.ckswitches.com/media/1471/pts645.pdf","/product-detail/en/c-k/PTS645SM43SMTR92-LFS/CKN9112CT-ND/1146934","SWITCH TACTILE SPST-NO 0.05A 12V","CKN9112CT-ND","Tactile Switches","","","","","","PTS645SM43SMTR92 LFS","C&K","","Active"
"46","4","SW1, SW2, SW3, SW4","SW_SPDT","Switch:SW_SPDT","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","~","","","","","563-1153-ND","","","","","","","","","",""
"47","1","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Keystone_5015_Micro-Minature","~","","","","","36-5015CT-ND","","","","","","","","","",""
"48","1","U10","Compute_Module_4_Connectors","Raspberry_Pi_Compute_Module_4:Compute_Module_4_Connectors","RPi_Compute_Module_4:Raspberry-Pi-4-Compute-Module","","","","","","H124602CT-ND","","","","","","","DF40HC(3.0)-100DS-0.4V(58)","","",""
"49","1","U11","MCP23016T-I/SO","2021-11-13_04-51-52:MCP23016T-I{slash}SO","footprints5:MCP23016T-I&slash_SO","","","","","","MCP23016T-I/SOCT-ND","","","","","","","MCP23016T-I/SO","","",""
"50","2","U3, U4","AOZ8904CIL","2021-10-21_05-38-11:AOZ8904CIL","footprints7:AOZ8904CIL","","","","","","785-1755-1-ND","","","","","","","AOZ8904CIL","","",""
"51","1","U5","ISL54222AIUZ","2021-10-22_05-57-19:ISL54222AIUZ","footprints10:ISL54222AIUZ","","","","","","ISL54222AIUZ-ND","","","","","","","ISL54222AIUZ","","",""
"52","1","U6","PDQ30-Q48-S5-D","acorn_motherboard-rescue:PDQ30-Q48-S5-D-PDQ30-Q48-S5-D","library:CONV_PDQ30-Q48-S5-D","1.0","","","","","102-3897-ND","","CUI Inc","Manufacturer Recommendations","","","","","","",""
"53","2","U7, U8","buffer","taylor_kicad:SN74LVC1G07QDCKTQ1","taylor_footprints:SN74LVC1G07QDCKTQ1","","","","","","TC7SH34FULJ(CTCT-ND","","","","","","","TC7SH34FU,LJ(CT","","",""
"54","1","Z1","15v/200mW","dk_Diodes-Zener-Single:MMSZ5231B-7-F","taylor_footprints:SOD-123","https://www.diodes.com/assets/Datasheets/ds18010.pdf","Discrete Semiconductor Products","https://www.diodes.com/assets/Datasheets/ds30410.pdf","https://www.digikey.com/en/products/detail/diodes-incorporated/DDZ9702-7/700124","DIODE ZENER 15V 500MW SOD123","DDZ9702DICT-ND","Diodes - Zener - Single","","","","","","DDZ9702-7","Diodes Incorporated","","Active"
"55","1","Z2","28v/500mW","dk_Diodes-Zener-Single:MMSZ5231B-7-F","taylor_footprints:SOD-123","https://www.diodes.com/assets/Datasheets/ds18010.pdf","Discrete Semiconductor Products","https://www.diodes.com/assets/Datasheets/ds18010.pdf","https://www.digikey.com/en/products/detail/diodes-incorporated/MMSZ5255B-7-F/814442","DIODE ZENER 28V 500MW SOD123","MMSZ5255B-FDICT-ND","Diodes - Zener - Single","","","","","","MMSZ5255B-7-F","Diodes Incorporated","","Active"
